 ,Area,Min,Max
1,455,0,0
2,310,0,0
3,308,0,0
4,406,0,0
5,306,0,0
6,380,0,0
7,478,0,0
8,315,0,0
9,423,0,0
10,285,0,0
11,275,0,0
12,317,0,0
13,380,0,0
14,338,0,0
15,303,0,0
16,434,0,0
17,357,0,0
18,416,0,0
19,290,0,0
20,312,0,0
21,430,0,0
22,352,0,0
23,316,0,0
24,368,0,0
25,343,0,0
26,411,0,0
27,302,0,0
28,414,0,0
29,317,0,0
30,276,0,0
31,383,0,0
32,353,0,0
33,335,0,0
34,317,0,0
35,354,0,0
36,311,0,0
37,370,0,0
38,314,0,0
39,288,0,0
40,306,0,0
41,387,0,0
42,500,0,0
43,361,0,0
44,294,0,0
45,390,0,0
46,285,0,0
47,359,0,0
48,445,0,0
49,415,0,0
50,323,0,0
51,282,0,0
52,308,0,0
53,309,0,0
54,354,0,0
55,362,0,0
56,198,0,0
57,357,0,0
58,216,0,0
59,170,0,0
60,498,0,0
61,313,0,0
62,491,0,0
63,359,0,0
64,306,0,0
65,259,0,0
66,364,0,0
67,305,0,0
68,270,0,0
69,354,0,0
70,358,0,0
71,282,0,0
72,270,0,0
73,229,0,0
74,329,0,0
75,281,0,0
76,464,0,0
77,331,0,0
78,247,0,0
79,369,0,0
80,383,0,0
81,276,0,0
82,365,0,0
83,368,0,0
84,331,0,0
85,353,0,0
86,309,0,0
87,251,0,0
88,309,0,0
89,465,0,0
90,355,0,0
91,329,0,0
92,313,0,0
93,370,0,0
94,367,0,0
95,301,0,0
96,318,0,0
97,289,0,0
98,219,0,0
99,374,0,0
100,299,0,0
101,295,0,0
102,295,0,0
103,386,0,0
104,326,0,0
105,232,0,0
106,385,0,0
107,361,0,0
108,426,0,0
109,463,0,0
110,303,0,0
111,412,0,0
112,339,0,0
113,328,0,0
114,412,0,0
115,247,0,0
116,227,0,0
117,299,0,0
118,346,0,0
119,317,0,0
120,434,0,0
121,334,0,0
122,348,0,0
123,433,0,0
124,393,0,0
125,313,0,0
126,291,0,0
127,337,0,0
128,305,0,0
129,433,0,0
130,351,0,0
131,358,0,0
132,266,0,0
133,330,0,0
134,480,0,0
135,364,0,0
136,150,0,0
137,147,0,0
138,273,0,0
139,258,0,0
140,282,0,0
141,438,0,0
142,201,0,0
143,319,0,0
144,273,0,0
145,441,0,0
146,357,0,0
147,316,0,0
148,329,0,0
149,328,0,0
150,308,0,0
151,273,0,0
152,348,0,0
153,370,0,0
154,237,0,0
155,335,0,0
156,318,0,0
157,438,0,0
158,264,0,0
159,415,0,0
160,397,0,0
161,323,0,0
162,344,0,0
163,386,0,0
164,404,0,0
165,276,0,0
166,428,0,0
167,479,0,0
168,230,0,0
169,449,0,0
170,393,0,0
171,341,0,0
172,290,0,0
173,431,0,0
174,305,0,0
175,343,0,0
176,260,0,0
177,324,0,0
178,327,0,0
179,313,0,0
180,371,0,0
181,340,0,0
182,294,0,0
183,324,0,0
184,89,0,0
185,478,0,0
186,309,0,0
187,175,0,0
188,221,0,0
189,395,0,0
190,328,0,0
191,258,0,0
192,364,0,0
193,59,0,0
194,400,0,0
195,216,0,0
196,310,0,0
197,263,0,0
198,230,0,0
199,434,0,0
200,325,0,0
201,387,0,0
202,292,0,0
203,343,0,0
204,152,0,0
205,308,0,0
206,454,0,0
207,357,0,0
208,224,0,0
209,260,0,0
210,366,0,0
211,402,0,0
212,283,0,0
213,377,0,0
214,391,0,0
215,318,0,0
216,466,0,0
217,379,0,0
218,410,0,0
219,419,0,0
220,209,0,0
221,303,0,0
222,344,0,0
223,346,0,0
224,398,0,0
225,375,0,0
226,253,0,0
227,447,0,0
228,297,0,0
229,424,0,0
230,398,0,0
231,328,0,0
232,428,0,0
233,376,0,0
234,294,0,0
235,268,0,0
236,263,0,0
237,173,0,0
238,279,0,0
239,257,0,0
240,414,0,0
241,338,0,0
242,288,0,0
243,379,0,0
244,242,0,0
245,279,0,0
246,439,0,0
247,333,0,0
248,368,0,0
249,253,0,0
250,277,0,0
251,465,0,0
252,254,0,0
253,463,0,0
254,280,0,0
255,481,0,0
256,279,0,0
257,354,0,0
258,362,0,0
259,395,0,0
260,358,0,0
261,340,0,0
262,292,0,0
263,482,0,0
264,324,0,0
265,200,0,0
266,169,0,0
267,231,0,0
268,435,0,0
269,252,0,0
270,165,0,0
271,418,0,0
272,296,0,0
